('110557', ['204084', '154277'])
('37798', ['155687', '186811'])
('200706', ['204084', '60624'])
('58071', ['166906', '186918'])
('223444', ['8449', '68605'])
('38503', ['46228', '253414'])
('38506', ['85710', '79980'])
('68173', ['97417', '101085'])
('84691', ['206469', '16077'])
('38508', ['90084', '16077'])
('48898', ['125616', '178505'])
('94158', ['43047', '53328'])
('211553', ['11149', '43919'])
('162101', ['83797', '12836'])
('99197', ['81046', '17405'])
('90319', ['190321', '10165'])
('70669', ['44648', '67367'])
('66302', ['31590', '1225'])
('71287', ['100943', '5840'])
('71829', ['8728', '98117'])
('53276', ['28158', '160193'])
('71288', ['100058', '106778'])
('71820', ['17970', '26422'])
('68281', ['53375', '8967'])
('23959', ['88653', '138582'])
('187499', ['192085', '167471'])
('68288', ['14726', '151382'])
('236924', ['239940', '189219'])
('242212', ['220237', '227817'])
('172941', ['47946', '3720'])
('261929', ['89171', '20265'])
('160140', ['224956', '158125'])
('114825', ['19151', '151517'])
('188967', ['3720', '45524'])
('110954', ['65182', '21389'])
('70488', ['68605', '115960'])
('183672', ['220081', '70003'])
('83472', ['14705', '112840'])
('258948', ['236828', '21844'])
('52242', ['69723', '110831'])
('18707', ['38159', '18893'])
('142770', ['101085', '100299'])
('54176', ['18219', '112840'])
('71750', ['104102', '100943'])
('18709', ['253412', '141723'])
('226782', ['240401', '186918'])
('89611', ['68099', '51154'])
('79390', ['60864', '50554'])
('94543', ['119428', '188967'])
('91065', ['151834', '166906'])
('62088', ['18219', '52970'])
('94546', ['22058', '68136'])
('17825', ['21844', '168018'])
('62081', ['94443', '70362'])
('129457', ['125203', '49041'])
('87108', ['20906', '180373'])
('6761', ['142530', '150917'])
('156653', ['100762', '13029'])
('99730', ['38867', '74652'])
('29382', ['170466', '139879'])
('27571', ['210257', '88653'])
('156658', ['180620', '196257'])
('169151', ['63734', '37954'])
('29819', ['64779', '91947'])
('137862', ['23692', '54370'])
('156380', ['15776', '4072'])
('29766', ['67275', '52290'])
('83614', ['197790', '160193'])
('68824', ['13195', '119331'])
('242819', ['94632', '20501'])
('94849', ['137035', '86603'])
('182931', ['63734', '100943'])
('225784', ['31981', '53186'])
('103392', ['53440', '778'])
('138102', ['26782', '113354'])
('97931', ['17540', '77316'])
('193170', ['53485', '3720'])
('183083', ['1225', '95220'])
('196417', ['16077', '161494'])
('178450', ['247047', '22464'])
('31231', ['75499', '11910'])
('174137', ['49344', '115071'])
('178108', ['52463', '70415'])
('79534', ['160193', '16503'])
('79537', ['70563', '13359'])
('72702', ['250838', '85881'])
('76882', ['100943', '133746'])
('79849', ['70003', '18219'])
('195805', ['5840', '104440'])
('207861', ['43276', '139806'])
('3435', ['16077', '44233'])
('105824', ['21434', '49605'])
('12832', ['26029', '6377'])
('12836', ['5840', '912'])
('87571', ['61519', '71917'])
('8541', ['101164', '54176'])
('65885', ['23113', '145921'])
('65886', ['123493', '96090'])
('15282', ['10620', '22753'])
('2037', ['165316', '151233'])
('7453', ['248566', '119413'])
('2036', ['7284', '108476'])
('123036', ['28158', '250789'])
('62459', ['127708', '231333'])
('66506', ['90748', '91257'])
('151382', ['46901', '143534'])
('50411', ['165640', '117219'])
('224782', ['185728', '98655'])
('145921', ['21446', '70003'])
('117069', ['192085', '108005'])
('65083', ['105096', '231333'])
('158156', ['18311', '161313'])
('88706', ['27489', '143536'])
('135039', ['73203', '219173'])
('244817', ['63247', '167296'])
('100379', ['49043', '40980'])
('50674', ['1057', '161494'])
('120604', ['145111', '135030'])
('60904', ['12672', '97209'])
('159549', ['2321', '18145'])
('100372', ['16004', '151517'])
('60908', ['169300', '18200'])
('107890', ['114073', '169011'])
('77284', ['68763', '186264'])
('26561', ['84482', '47231'])
('212567', ['101056', '100002'])
('266673', ['53488', '3713'])
('218978', ['52408', '101536'])
('81534', ['150555', '18400'])
('187256', ['126866', '46275'])
('6530', ['6026', '104571'])
('150168', ['220237', '242212'])
('397', ['2399', '121086'])
('86210', ['7517', '70488'])
('249699', ['156619', '112873'])
('6799', ['54034', '69675'])
('184501', ['10586', '6815'])
('119452', ['16476', '57119'])
('201134', ['22030', '79417'])
('114445', ['80726', '97525'])
('13614', ['162912', '143345'])
('4727', ['179432', '79454'])
('81506', ['96932', '61418'])
('13612', ['97654', '100206'])
('2306', ['117195', '16382'])
('74482', ['90129', '65985'])
('16062', ['116438', '131114'])
('104279', ['70296', '151382'])
('165614', ['148124', '177642'])
('93137', ['51616', '5729'])
('11284', ['135308', '70384'])
('104270', ['8005', '53926'])
('11286', ['11550', '92768'])
('41067', ['74652', '260851'])
('136975', ['47187', '120123'])
('17628', ['79802', '99863'])
('166835', ['147182', '18987'])
('167616', ['11169', '16431'])
('13534', ['145111', '164215'])
('85868', ['101152', '133746'])
('13538', ['68605', '49310'])
('41822', ['182920', '151895'])
('100952', ['163796', '79534'])
('100950', ['53245', '10751'])
('90818', ['58222', '168018'])
('11753', ['160981', '3150'])
('43684', ['50172', '145111'])
('99854', ['97229', '154310'])
('101029', ['11292', '3720'])
('217716', ['232782', '104567'])
('104011', ['6214', '94979'])
('101536', ['83797', '173854'])
('93356', ['15506', '9325'])
('52101', ['113355', '197790'])
('108262', ['69557', '137902'])
('20735', ['20602', '37903'])
('97450', ['71203', '69709'])
('122976', ['16077', '7517'])
('97455', ['15506', '212274'])
('177', ['72950', '93991'])
('153120', ['7862', '3259'])
('60017', ['2907', '153693'])
('13281', ['48704', '111156'])
('152837', ['78854', '103477'])
('152836', ['73088', '16069'])
('80106', ['71987', '54412'])
('80107', ['2734', '91947'])
('85423', ['18987', '28158'])
('185674', ['8449', '151854'])
('21931', ['51483', '43820'])
('42485', ['13939', '16272'])
('139239', ['15299', '17955'])
('42335', ['141199', '97665'])
('42489', ['6377', '145111'])
('139233', ['62945', '50648'])
('79375', ['215795', '9701'])
('45879', ['113355', '149380'])
('96309', ['100270', '133158'])
('48553', ['89244', '16384'])
('48220', ['4214', '22217'])
('191144', ['145111', '154277'])
('63140', ['250690', '59367'])
('70015', ['120121', '17387'])
('10399', ['84434', '6214'])
('195161', ['177642', '162033'])
('163753', ['65985', '157399'])
('195301', ['195805', '21844'])
('80368', ['40062', '214831'])
('210898', ['5430', '44671'])
('6214', ['53589', '11292'])
('176478', ['122806', '94641'])
('12220', ['62945', '13491'])
('231292', ['53650', '88653'])
('42155', ['178907', '12492'])
('54412', ['16927', '80106'])
('42157', ['120121', '17387'])
('167872', ['80534', '214178'])
('70340', ['6377', '108005'])
('15876', ['42220', '44691'])
('15877', ['46072', '123194'])
('179627', ['233162', '21446'])
('15875', ['39607', '10620'])
('6815', ['127001', '184501'])
('196641', ['238009', '169217'])
('107703', ['260851', '248134'])
('107702', ['14923', '11025'])
('9755', ['54372', '21446'])
('57888', ['185646', '169401'])
('107709', ['26063', '17308'])
('123555', ['243246', '51477'])
('91950', ['91257', '90748'])
('21426', ['13210', '72189'])
('18935', ['106505', '11910'])
('49792', ['51616', '20004'])
('102671', ['86210', '84564'])
('56837', ['53642', '199575'])
('187415', ['191463', '62046'])
('97378', ['26782', '113354'])
('17387', ['16388', '69410'])
('8849', ['23664', '12178'])
('19537', ['131053', '108022'])
('142161', ['148578', '177297'])
('80590', ['23113', '101622'])
('32441', ['22464', '155914'])
('119216', ['5705', '153049'])
('83283', ['36142', '134189'])
('67597', ['48704', '73088'])
('143692', ['115960', '82606'])
('7669', ['51616', '100943'])
('144919', ['60997', '21644'])
('137186', ['215968', '10542'])
('137187', ['2437', '38326'])
('212023', ['90762', '157706'])
('54274', ['46228', '73082'])
('142343', ['39255', '40980'])
('53589', ['70384', '53766'])
('41681', ['181547', '145140'])
('68345', ['53738', '6377'])
('1760', ['44036', '45342'])
('68613', ['22217', '51616'])
('84482', ['64373', '103664'])
('204117', ['207839'])
('67376', ['5513', '17619'])
('83137', ['70003', '97639'])
('83133', ['155687', '44610'])
('178869', ['10182', '51126'])
('24556', ['43114', '54055'])
('50083', ['18968', '121086'])
('187081', ['232918', '73431'])
('50087', ['49735', '65498'])
('1547', ['2437', '20602'])
('690', ['88653', '22464'])
('1542', ['5701', '63373'])
('697', ['44346', '117986'])
('207674', ['154310', '236828'])
('58530', ['153945', '42155'])
('14474', ['18756', '16384'])
('111046', ['162912', '61418'])
('94488', ['123041', '216589'])
('133951', ['94216', '61103'])
('144641', ['108992', '201194'])
('8717', ['51616', '161608'])
('94957', ['111154', '2342'])
('94952', ['90748', '90474'])
('72135', ['123498', '53642'])
('110794', ['242684', '17587'])
('50881', ['15299', '7517'])
('71077', ['85253', '213208'])
('13847', ['15299', '30690'])
('31578', ['92396', '58221'])
('30592', ['202381', '155281'])
('201636', ['101085', '59726'])
('17922', ['4495', '45909'])
('103705', ['61519', '71917'])
('103703', ['2437', '5729'])
('119179', ['2322', '7517'])
('72392', ['79892', '181547'])
('91165', ['54306', '190520'])
('207496', ['197790', '160193'])
('111397', ['84071', '119037'])
('103708', ['52978', '81195'])
('94333', ['155846', '131114'])
('186427', ['220237', '173937'])
('115277', ['21844', '135682'])
('143345', ['40326', '60830'])
('111224', ['4020', '32654'])
('143348', ['161313', '97209'])
('114053', ['70362', '70367'])
('73783', ['236828', '111889'])
('221525', ['91888', '198730'])
('23266', ['17251', '51616'])
('110873', ['80994', '70543'])
('132666', ['7284', '2915'])
('126819', ['16388', '15332'])
('101707', ['26422', '70384'])
('89396', ['84534', '135030'])
('5710', ['100943', '26639'])
('230716', ['180564', '169300'])
('11567', ['129757', '3455'])
('82422', ['7730', '15051'])
('103567', ['51126', '180127'])
('122968', ['170115', '18756'])
('181363', ['121553', '79534'])
('181362', ['27694', '76882'])
('101944', ['161494', '164768'])
('253150', ['216589', '115960'])
('48364', ['78687', '7517'])
('177480', ['47463', '1791'])
('22247', ['16077', '69956'])
('61659', ['26422', '23294'])
('218097', ['105096', '251699'])
('168372', ['53926', '2439'])
('9520', ['141490', '13480'])
('239940', ['18893', '52825'])
('266022', ['78140', '69876'])
('74032', ['67368', '169300'])
('128857', ['104292', '1788'])
('98665', ['18805', '62914'])
('166137', ['199575', '45408'])
('27392', ['69266', '16077'])
('9965', ['79980', '66618'])
('9966', ['266040', '245187'])
('9967', ['9074', '68210'])
('61653', ['206012', '61479'])
('110164', ['180620', '4495'])
('177660', ['120478', '151958'])
('96624', ['8879', '161313'])
('20372', ['16272', '37380'])
('201892', ['139787', '115960'])
('57272', ['86342', '53166'])
('104488', ['4031', '51040'])
('191332', ['97417', '101085'])
('223015', ['191463', '22753'])
('145140', ['17957', '149510'])
('223012', ['196212', '182920'])
('253', ['89244', '10829'])
('256', ['51616', '65985'])
('210155', ['7517', '180620'])
('186150', ['16388', '50709'])
('228736', ['5840', '127527'])
('158363', ['16077', '108005'])
('12030', ['15877', '58221'])
('12036', ['214598', '91888'])
('124113', ['1460', '142347'])
('53149', ['172566', '121485'])
('69992', ['38755', '69118'])
('81195', ['14990', '123270'])
('69991', ['8879', '42155'])
('124118', ['42638', '38149'])
('215328', ['146174', '26063'])
('221948', ['215795', '163303'])
('104739', ['176348', '16077'])
('125644', ['97654', '12841'])
('125641', ['78954', '174821'])
('21639', ['131114', '97695'])
('150623', ['59782', '73435'])
('127178', ['65985', '35305'])
('132684', ['124605', '209435'])
('216365', ['172020', '99073'])
('45468', ['14923', '2437'])
('134369', ['141095', '129643'])
('90482', ['185734', '70375'])
('64928', ['26422', '39607'])
('90486', ['77277', '67376'])
('43142', ['85710', '226967'])
('26041', ['59601', '45825'])
('162347', ['7517', '92977'])
('43149', ['24883', '164147'])
('64921', ['93809', '248384'])
('47100', ['94934', '23113'])
('85679', ['9074', '229345'])
('1094', ['177642', '260851'])
('128148', ['162704', '48500'])
('113127', ['141723', '192085'])
('46510', ['78934', '94443'])
('46512', ['61418', '53926'])
('152190', ['44691', '41080'])
('49898', ['2734', '63771'])
('152192', ['133790', '64779'])
('152194', ['70367', '100206'])
('1096', ['88214', '133158'])
('128144', ['69958', '3720'])
('125397', ['153834', '9207'])
('11487', ['70429', '8509'])
('22814', ['2229', '65551'])
('3539', ['98154', '9856'])
('147851', ['198180', '53929'])
('58050', ['15332', '53186'])
('38561', ['206012', '1797'])
('53975', ['4847', '18219'])
('30042', ['91925', '94952'])
('10766', ['1460', '7041'])
('90666', ['91257', '90514'])
('70135', ['191038', '41799'])
('162166', ['16927', '9939'])
('163569', ['137853', '183522'])
('18890', ['15578', '20220'])
('58233', ['197790', '160193'])
('14647', ['88538', '5544'])
('14861', ['189882', '23294'])
('78393', ['60830', '17076'])
('112938', ['5513', '53166'])
('18541', ['23692', '178733'])
('19233', ['160193', '104542'])
('246757', ['78687', '55299'])
('208418', ['194565', '5264'])
('13892', ['113355', '149380'])
('106649', ['182920', '158037'])
('13072', ['7222', '194565'])
('232025', ['186515', '49735'])
('106641', ['206960', '53640'])
('250773', ['73088', '16674'])
('237509', ['246652', '88476'])
('106645', ['6086', '17143'])
('133324', ['129979', '108353'])
('44229', ['15051', '8644'])
('109587', ['43276', '139806'])
('46318', ['42280', '113355'])
('83456', ['44847', '95124'])
('18099', ['164768', '5840'])
('112063', ['53926', '44671'])
('91294', ['94158', '97840'])
('54198', ['2655', '162721'])
('33524', ['138551', '64779'])
('142756', ['145111', '21928'])
('54195', ['92396', '58221'])
('108844', ['11284', '58221'])
('18095', ['152209', '16388'])
('106559', ['52487', '38159'])
('27552', ['97328', '143348'])
('94569', ['113354', '116650'])
('91048', ['17996', '19187'])
('94565', ['70560', '52130'])
('234970', ['10182', '210121'])
('94562', ['11408', '9466'])
('91041', ['3720', '73088'])
('94560', ['207010', '192085'])
('67161', ['52130', '11499'])
('83636', ['53738', '65551'])
('67166', ['150917', '27489'])
('178972', ['53929', '143227'])
('137848', ['83798', '47378'])
('137842', ['18200', '100206'])
('45849', ['26782', '64471'])
('68805', ['66506', '91257'])
('68804', ['42155', '18935'])
('132492', ['77909', '59726'])
('47231', ['53738', '8879'])
('1156', ['3720', '23664'])
('1151', ['112063', '40838'])
('1153', ['162814', '31590'])
('1152', ['26931', '173844'])
('109468', ['4610', '5582'])
('97915', ['54413', '15299'])
('196430', ['195736', '69557'])
('97911', ['213310', '15125'])
('59541', ['66506', '90748'])
('77910', ['44671', '102999'])
('107115', ['90785', '68817'])
('39573', ['42280', '210933'])
('78640', ['34330', '110531'])
('71773', ['11075', '3259'])
('71772', ['100943', '45437'])
('78647', ['53926', '89635'])
('31212', ['89171', '131114'])
('79513', ['68390', '119671'])
('109641', ['5840', '149380'])
('8033', ['64146', '170115'])
('8032', ['53129', '69024'])
('8039', ['77909', '17022'])
('8038', ['84061', '1751'])
('12858', ['71987', '16272'])
('8529', ['37954', '51616'])
('12588', ['169300', '170106'])
('42833', ['80106', '8449'])
('131676', ['183522', '5271'])
('12850', ['89553', '61302'])
('145906', ['66869', '50172'])
('154901', ['112063', '131055'])
('228267', ['97525', '131114'])
('66562', ['169401', '173180'])
('226503', ['189219', '227278'])
('151369', ['12214', '137010'])
('24084', ['149386', '16077'])
('65066', ['136508', '26063'])
('150361', ['108005', '121970'])
('103917', ['54423', '101152'])
('259295', ['88653', '54219'])
('103915', ['131052', '58221'])
('184461', ['18935', '53589'])
('20690', ['8879', '179432'])
('68526', ['174621', '145837'])
('110963', ['64858', '16077'])
('73327', ['113355', '149380'])
('240804', ['23176'])
('50694', ['1788', '16476'])
('13982', ['5498', '60777'])
('120624', ['161502', '150391'])
('28656', ['40573', '31590'])
('23382', ['185517', '69484'])
('151503', ['250838', '224956'])
('66784', ['47306', '260519'])
('66785', ['91257', '90723'])
('66783', ['2905', '53627'])
('126483', ['118546', '240425'])
('22030', ['224043', '1086'])
('177297', ['178402', '148578'])
('65200', ['3720', '65189'])
('214514', ['235485', '178959'])
('61254', ['107662', '105700'])
('155467', ['26782', '120116'])
('69691', ['24201', '12909'])
('174803', ['20220', '126873'])
('94159', ['166228', '69557'])
('47436', ['68390', '70560'])
('201152', ['189882', '70560'])
('258215', ['148780', '134663'])
('204078', ['158540', '96972'])
('90647', ['8079', '85552'])
('4743', ['82580', '145067'])
('251726', ['186918', '169309'])
('19767', ['133790', '56643'])
('16004', ['24883', '7730'])
('96432', ['67245', '158459'])
('96431', ['255659', '108005'])
('19769', ['61519', '71917'])
('96437', ['94783', '64396'])
('116352', ['22609', '149380'])
('56667', ['33245', '177575'])
('177123', ['45408', '167447'])
('52348', ['62044', '40573'])
('82561', ['51057', '68870'])
('17351', ['147628', '58221'])
('17600', ['72035', '5840'])
('90871', ['180620', '78687'])
('145017', ['46847', '104542'])
('90872', ['69382', '15095'])
('25382', ['92388', '111440'])
('2185', ['15123', '108060'])
('2685', ['16382', '50988'])
('209393', ['126392', '145111'])
('4604', ['37517', '93467'])
('100932', ['52290', '32557'])
('145018', ['53738', '79390'])
('101042', ['18987', '51126'])
('104037', ['2660', '148477'])
('101046', ['18388', '94469'])
('101047', ['38755', '101106'])
('230509', ['6377', '16004'])
('130231', ['72350', '14115'])
('230504', ['175524', '137656'])
('15342', ['60777', '72035'])
('192055', ['95878', '173378'])
('12423', ['50644', '198955'])
('19589', ['18219', '206960'])
('121970', ['260851', '255659'])
('51126', ['16388', '18987'])
('121975', ['100058', '7862'])
('69035', ['70296', '81195'])
('64554', ['7517', '97209'])
('60786', ['68448', '59541'])
('64551', ['2140', '82770'])
('60783', ['248134', '89171'])
('250816', ['24883', '20298'])
('20864', ['120736', '90677'])
('20863', ['210767', '236828'])
('64008', ['145140', '8879'])
('148426', ['46275', '91925'])
('240990', ['104662', '18412'])
('233976', ['188872', '124077'])
('177700', ['171831', '218969'])
('168269', ['164768', '112217'])
('85444', ['156846', '48500'])
('248144', ['39255', '68763'])
('135778', ['116170', '18989'])
('59269', ['256', '70384'])
('49156', ['5840', '105142'])
('45639', ['238443', '65113'])
('2725', ['183522', '150578'])
('155888', ['91092', '89866'])
('204059', ['135030', '191463'])
('139799', ['103196', '127295'])
('48202', ['100206', '169309'])
('134136', ['67275', '125796'])
('99529', ['13193', '106707'])
('2729', ['90156', '15794'])
('9199', ['94158', '60538'])
('93809', ['101443', '23664'])
('207897', ['4862', '44610'])
('16919', ['112840', '49476'])
('80389', ['66506', '90748'])
('63782', ['38875', '162912'])
('70163', ['59924', '50896'])
('42178', ['210121', '46228'])
('70363', ['50743', '163796'])
('70362', ['206469', '17970'])
('70367', ['29087', '51461'])
('90126', ['84534', '43976'])
('70365', ['53929', '178733'])
('36582', ['19083', '70619'])
('90129', ['5513', '100929'])
('121755', ['60281', '10247'])
('10519', ['6377', '169300'])
('95188', ['160193', '180207'])
('190153', ['77442', '37872'])
('9771', ['20004', '60661'])
('9773', ['73431', '66185'])
('112217', ['194565', '68293'])
('176234', ['26782', '65498'])
('49653', ['92941', '70560'])
('247341', ['266040', '138904'])
('187475', ['4031', '70384'])
('223811', ['53289', '67587'])
('223761', ['110557', '208304'])
('106959', ['104675', '68763'])
('146840', ['20496', '49735'])
('123289', ['244817', '86940'])
('67577', ['22464', '155914'])
('123282', ['67925', '231333'])
('71980', ['4072', '94129'])
('110714', ['69484', '261374'])
('71982', ['10562', '49413'])
('71987', ['65893', '16272'])
('187710', ['169401', '195805'])
('91346', ['5840', '65182'])
('86404', ['21931', '13896'])
('132860', ['9466', '49735'])
('5264', ['160193', '92977'])
('136837', ['79980', '9425'])
('23186', ['161063', '180207'])
('14184', ['6026', '3720'])
('138300', ['93633', '16077'])
('186873', ['80530', '10542'])
('162912', ['13614', '94125'])
('83157', ['100208', '39748'])
('83154', ['38508', '7517'])
('11137', ['64340', '141490'])
('54034', ['66502', '50909'])
('18374', ['96090', '37541'])
('108476', ['17955', '53804'])
('18371', ['112813', '90734'])
('91454', ['53690', '69382'])
('80220', ['59932', '18311'])
('91450', ['58221', '15455'])
('17985', ['104929', '114471'])
('108721', ['6653', '81470'])
('170115', ['66525', '192492'])
('208604', ['57365', '226923'])
('239829', ['131114', '3720'])
('94979', ['90025', '12492'])
('62129', ['108005', '94125'])
('15583', ['163796', '124379'])
('144623', ['18200', '5430'])
('115071', ['9653', '63023'])
('144996', ['96565', '18099'])
('229506', ['26782', '160193'])
('19813', ['168018', '223615'])
('169947', ['236549', '24158'])
('169946', ['17052', '2734'])
('238443', ['193519', '12351'])
('233414', ['220915', '248521'])
('178733', ['151382', '163753'])
('50868', ['14990', '24883'])
('258020', ['18164', '152976'])
('110776', ['104925', '78620'])
('172440', ['219830', '126873'])
('50864', ['53738', '79390'])
('4195', ['149380', '88653'])
('73514', ['136508', '220237'])
('118546', ['42280', '42923'])
('190970', ['50644', '198955'])
('165131', ['20871', '26782'])
('148991', ['11910', '20901'])
('118542', ['163796', '88653'])
('103767', ['16077', '69956'])
('91988', ['90636', '28848'])
('14429', ['13697', '58221'])
('156172', ['231842', '101085'])
('252176', ['204084', '170106'])
('225624', ['260851', '232708'])
('66047', ['132263', '21446'])
('110513', ['69709', '12705'])
('130932', ['21676', '1955'])
('180127', ['17957', '49735'])
('93589', ['158167', '228876'])
('101728', ['12850', '61302'])
('262259', ['50182', '221833'])
('23714', ['50909', '3892'])
('23241', ['110557', '13195'])
('12446', ['26015', '97209'])
('8193', ['121664', '212572'])
('87438', ['110557', '77277'])
('87928', ['114835', '127627'])
('150826', ['121086', '19083'])
('155675', ['17179', '61885'])
('15328', ['19751', '126873'])
('87920', ['61698', '151401'])
('39382', ['154310', '210767'])
('89615', ['66900', '70563'])
('159033', ['79980', '60908'])
('130680', ['50644', '52396'])
('130682', ['414', '3056'])
('248797', ['92087', '63276'])
('266558', ['182920', '61698'])
('239312', ['215459', '83950'])
('89963', ['30458', '26782'])
('55786', ['111991', '177795'])
('115921', ['92396', '68763'])
('115925', ['15794', '89379'])
('80804', ['52756', '7504'])
('97116', ['94783', '54278'])
('161327', ['163796', '88653'])
('173112', ['21478', '112063'])
('166442', ['24883', '18987'])
('100588', ['11075', '117986'])
('39035', ['49310', '100762'])
('92768', ['124720', '157251'])
('92981', ['15794', '150253'])
('152894', ['45126', '53005'])
('96604', ['69454', '147809'])
('221039', ['29587', '125203'])
('37385', ['32654', '62095'])
('12055', ['108005', '11753'])
('182411', ['50896', '127380'])
('12059', ['70003', '24587'])
('236', ['7041', '7049'])
('117293', ['79892', '21528'])
('88068', ['5132', '230266'])
('227278', ['94016', '70362'])
('119796', ['73080', '61302'])
('119826', ['58221', '160193'])
('264998', ['247341', '123171'])
('241295', ['59324', '155213'])
('10306', ['191463', '112063'])
('100058', ['94934', '10789'])
('69206', ['124481', '92396'])
('100053', ['16477', '49735'])
('86387', ['59537', '141506'])
('86381', ['145067', '91807'])
('121568', ['10048', '104542'])
('140875', ['33245', '82481'])
('21656', ['13639', '30458'])
('49529', ['23603', '15299'])
('104750', ['112063', '54707'])
('85387', ['78534', '79537'])
('253829', ['79568', '166219'])
('219879', ['210722', '145140'])
('65541', ['64891', '17387'])
('122734', ['84871', '56989'])
('150645', ['19981', '78534'])
('26066', ['160193', '53488'])
('134303', ['11292', '20602'])
('26063', ['65985', '92977'])
('64491', ['126651', '28106'])
('141472', ['20322', '62146'])
('45408', ['52411', '21412'])
('99732', ['208546', '209650'])
('64948', ['59601', '15125'])
('99959', ['49756', '58182'])
('119657', ['42280', '194754'])
('153843', ['83472', '69410'])
('153842', ['58952', '104560'])
('90462', ['91257', '126167'])
('90460', ['90762', '196212'])
('217592', ['166906', '226685'])
('197416', ['3884', '49556'])
('214457', ['16927', '66618'])
('198697', ['163796', '88653'])
('17166', ['162259', '192558'])
('38814', ['70917', '16919'])
('17160', ['14923', '77909'])
('38812', ['64905', '239000'])
('68137', ['107883', '12055'])
('68136', ['67678', '89946'])
('68135', ['68136', '67678'])
('37178', ['43276', '139806'])
('68132', ['16077', '7517'])
('75090', ['75499', '44676'])
('196448', ['38667', '70770'])
('162145', ['156846', '100602'])
('94118', ['173937', '214681'])
('10749', ['11292', '97417'])
('36776', ['47791', '137010'])
('90601', ['13367', '10247'])
('936', ['40573', '7517'])
('90604', ['201124', '21446'])
('36771', ['124618', '101451'])
('58967', ['58926', '132263'])
('5385', ['77593', '161313'])
('112668', ['5224', '414'])
('45487', ['109764'])
('112667', ['255659', '108005'])
('58785', ['23365', '152950'])
('112662', ['9874', '163796'])
('157706', ['120653', '90762'])
('245889', ['191895', '243692'])
('106664', ['26273', '20602'])
('81088', ['119644', '182299'])
('175518', ['46275', '86532'])
('102754', ['88511', '71874'])
('1752', ['138376', '70560'])
('85657', ['93484', '17955'])
('85124', ['73488', '20004'])
('51570', ['224956', '86210'])
('85652', ['90748', '91257'])
('80443', ['16004', '58820'])
('51636', ['45746', '154315'])
('188927', ['15299', '27694'])
('157691', ['3720', '6377'])
('84522', ['85507', '143692'])
('211483', ['52487', '94783'])
